"","X","gen","class","primary_cat","sub_cat","infr_desc","infr_date","harm","sex","party","dup","year","event_unique_id","subject","notes","X.1","null","deans_date","month","semester","term","month_year"
"1",20,"Male",2010,"Assault",NA,"struck an emergency medical technician while intoxicated.",2007-09-06,"1","0","1",0,"2007","2007-09-06_Assault_1_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"2",10,"Male",2010,"Alcohol",NA,"participating in a drinking game",2007-09-07,"0","0","1",1,"2007","2007-09-07_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"3",11,"Male",2010,"Alcohol",NA,"participating in a drinking game",2007-09-07,"0","0","1",1,"2007","2007-09-07_Alcohol_0_0_1_1",2,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"4",12,"Male",2009,"Alcohol",NA,"serving to minors, drinking game",2007-09-07,"0","0","1",1,"2007","2007-09-07_Alcohol_0_0_1_1",3,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"5",13,"Male",2010,"Alcohol",NA,"participating in a drinking game",2007-09-07,"0","0","1",1,"2007","2007-09-07_Alcohol_0_0_1_1",4,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"6",22,"Male",2011,"Alcohol",NA,"hosting a drinking game",2007-09-07,"0","0","1",1,"2007","2007-09-07_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"7",23,"Male",2011,"Alcohol",NA,"participating in a drinking game",2007-09-07,"0","0","1",1,"2007","2007-09-07_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"8",24,"Male",2009,"Alcohol",NA,"participated in drinking games",2007-09-07,"0","0","1",1,"2007","2007-09-07_Alcohol_0_0_1_1",2,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"9",38,"Female",2010,"Alcohol",NA,"serving to underage persons",2007-09-07,"0","0","1",0,"2007","2007-09-07_Alcohol_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"10",71,"Male",2010,"Dishonesty/Fraud",NA,"lied to public safety officers",2007-09-07,"0","0","0",0,"2007","2007-09-07_Dishonesty/Fraud_0_0_0_0",2,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"11",5,"Male",2008,"Alcohol",NA,"making alcohol available to people under 21",2007-09-08,"0","0","0",1,"2007","2007-09-08_Alcohol_0_0_0_1",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"12",6,"Male",2008,"Alcohol",NA,"making alcohol available to people under 21",2007-09-08,"0","0","0",1,"2007","2007-09-08_Alcohol_0_0_0_1",2,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"13",7,"Male",2008,"Alcohol",NA,"open container in public space",2007-09-08,"0","0","1",1,"2007","2007-09-08_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"14",39,"Male",2011,"Alcohol",NA,"serving to minors",2007-09-09,"0","0","1",1,"2007","2007-09-09_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"15",40,"Male",2011,"Alcohol",NA,"serving to underage students",2007-09-09,"0","0","1",1,"2007","2007-09-09_Alcohol_0_0_1_1",2,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"16",41,"Male",2011,"Alcohol",NA,"serving to underage students",2007-09-09,"0","0","1",1,"2007","2007-09-09_Alcohol_0_0_1_1",3,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"17",31,"Male",2011,"Assault",NA,"assaulted a public safety officer and was disorderly and combative while intoxicated.",2007-09-10,"1","0","1",0,"2007","2007-09-10_Assault_1_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"18",8,"Male",2008,"Disorderly Conduct",NA,"uncooperative and abusive behavior with uhs and dps",2007-09-11,"1","0","0",0,"2007","2007-09-11_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"19",14,"Male",2008,"Health and Safety",NA,"pulled fire alarm out of wall",2007-09-12,"1","0","0",0,"2007","2007-09-12_Health and Safety_1_0_0_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"20",16,"Male",2012,"Alcohol",NA,"serving alcohol to underage students",2007-09-12,"0","0","1",1,"2007","2007-09-12_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
