,gen,class,primary_cat,sub_cat,infr_desc,infr_date,harm,sex,party,dup,year,event_unique_id,subject,notes,
1,Male,2009,Drugs,NA,possession of marijuana,8/4/07,0,0,0,0,2008,2007-08-04_Drugs_0_0_0_0,1,,
2,Male,2010,Alcohol,NA,particpating in a drinking game,7/22/07,0,0,1,1,2008,2007-07-22_Alcohol_0_0_1_1,1,,
3,Male,2010,Alcohol,NA,hosting a drinking game and serving alcohol to minors,7/22/07,0,0,1,1,2008,2007-07-22_Alcohol_0_0_1_1,1,,
4,Female,2010,Drugs,NA,"unauthorized residence in a dorm room not her own, damage to university property, possession of drug paraphernalia",8/16/07,0,0,0,0,2008,2007-08-16_Drugs_0_0_0_0,1,,
5,Male,2008,Alcohol,NA,making alcohol available to people under 21,9/8/07,0,0,0,1,2008,2007-09-08_Alcohol_0_0_0_1,1,,
6,Male,2008,Alcohol,NA,making alcohol available to people under 21,9/8/07,0,0,0,1,2008,2007-09-08_Alcohol_0_0_0_1,2,,
7,Male,2008,Alcohol,NA,open container in public space,9/8/07,0,0,1,1,2008,2007-09-08_Alcohol_0_0_1_1,1,,
8,Male,2008,Disorderly Conduct,NA,uncooperative and abusive behavior with uhs and dps,9/11/07,1,0,0,0,2008,2007-09-11_Disorderly Conduct_1_0_0_0,1,,
9,Male,2008,Health and Safety,NA,disabled fire alarm,8/7/07,0,0,0,0,2008,2007-08-07_Health and Safety_0_0_0_0,1,,
10,Male,2010,Alcohol,NA,participating in a drinking game,9/7/07,0,0,1,1,2008,2007-09-07_Alcohol_0_0_1_1,1,,
11,Male,2010,Alcohol,NA,participating in a drinking game,9/7/07,0,0,1,1,2008,2007-09-07_Alcohol_0_0_1_1,2,,
12,Male,2009,Alcohol,NA,"serving to minors, drinking game",9/7/07,0,0,1,1,2008,2007-09-07_Alcohol_0_0_1_1,3,,
13,Male,2010,Alcohol,NA,participating in a drinking game,9/7/07,0,0,1,1,2008,2007-09-07_Alcohol_0_0_1_1,4,,
14,Male,2008,Health and Safety,NA,pulled fire alarm out of wall,9/12/07,1,0,0,0,2008,2007-09-12_Health and Safety_1_0_0_0,1,,
15,Male,2009,Property Damage & Vandalism,NA,threw paintballs at parked car and at dorm walls,9/13/07,1,0,0,0,2008,2007-09-13_Property Damage & Vandalism_1_0_0_0,1,,
16,Male,2012,Alcohol,NA,serving alcohol to underage students,9/12/07,0,0,1,1,2008,2007-09-12_Alcohol_0_0_1_1,1,,
17,Male,2012,Alcohol,NA,serving alcohol to underage students,9/12/07,0,0,1,1,2008,2007-09-12_Alcohol_0_0_1_1,2,,
18,Male,2011,Alcohol,NA,serving alcohol to underage persons,9/12/07,0,0,1,1,2008,2007-09-12_Alcohol_0_0_1_1,3,,
19,Male,2008,Disorderly Conduct,NA,uncooperative and combative w/ uhs staff,9/12/07,1,0,0,0,2008,2007-09-12_Disorderly Conduct_1_0_0_0,1,,
20,Male,2010,Assault,NA,struck an emergency medical technician while intoxicated.,9/6/07,1,0,1,0,2008,2007-09-06_Assault_1_0_1_0,1,,
21,Male,2009,Dishonesty/Fraud,NA,deliberately misled preceptor about when a final paper was completed,9/16/07,0,0,0,0,2008,2007-09-16_Dishonesty/Fraud_0_0_0_0,1,,
22,Male,2011,Alcohol,NA,hosting a drinking game,9/7/07,0,0,1,1,2008,2007-09-07_Alcohol_0_0_1_1,1,,
23,Male,2011,Alcohol,NA,participating in a drinking game,9/7/07,0,0,1,1,2008,2007-09-07_Alcohol_0_0_1_1,1,,
24,Male,2009,Alcohol,NA,participated in drinking games,9/7/07,0,0,1,1,2008,2007-09-07_Alcohol_0_0_1_1,2,,
25,Male,2010,Disorderly Conduct,NA,urinated on prospect ave. and ran from borough police while intoxicated,9/12/07,1,0,1,0,2008,2007-09-12_Disorderly Conduct_1_0_1_0,1,,
26,Male,2008,Drugs,NA,possession of marijuana and drug paraphernalia,9/30/07,0,0,0,1,2008,2007-09-30_Drugs_0_0_0_1,1,,
27,Male,2008,Drugs,NA,possession of marijuana and drug paraphernalia,9/30/07,0,0,0,1,2008,2007-09-30_Drugs_0_0_0_1,2,,
28,Male,2008,Dishonesty/Fraud,NA,dishonesty w/ public safety,10/11/07,0,0,0,0,2008,2007-10-11_Dishonesty/Fraud_0_0_0_0,1,,
29,Male,2010,Alcohol,NA,serving to minors and possession of keg,9/29/07,0,0,1,0,2008,2007-09-29_Alcohol_0_0_1_0,1,,
30,Male,2008,Dishonesty/Fraud,NA,failure to be straightforward with public safety,9/29/07,0,0,0,0,2008,2007-09-29_Dishonesty/Fraud_0_0_0_0,1,,
31,Male,2011,Assault,NA,assaulted a public safety officer and was disorderly and combative while intoxicated.,9/10/07,1,0,1,0,2008,2007-09-10_Assault_1_0_1_0,1,,
32,Male,2010,Disorderly Conduct,NA,making a threatening remark regarding one of his professors,10/8/07,1,0,0,0,2008,2007-10-08_Disorderly Conduct_1_0_0_0,1,,
